category,avg_similarity,num_pairs
anaphor_agreement,0.984375,1000
argument_structure_ditransitive,0.9921875,1000
argument_structure_transitive,0.98828125,1000
binding,0.94140625,1000
determiners,0.98828125,1000
ellipsis,0.9453125,1000
irregular_forms,0.984375,1000
island_effects,0.890625,1000
nominalization,0.9765625,1000
npi_licensing,0.8828125,1000
passives,0.90625,1000
quantifiers,0.93359375,1000
relative_clauses,0.99609375,1000
scrambling,0.95703125,1000
subject_verb_agreement,0.95703125,1000
suspended_affixation,0.96875,1000
