category,avg_similarity,num_pairs
anaphor_agreement,0.92578125,1000
argument_structure_ditransitive,0.93359375,1000
argument_structure_transitive,0.90625,1000
binding,0.89453125,1000
determiners,0.96484375,1000
ellipsis,0.9921875,1000
irregular_forms,0.90625,1000
island_effects,0.83984375,1000
nominalization,0.875,1000
npi_licensing,0.875,1000
passives,0.85546875,1000
quantifiers,0.90234375,1000
relative_clauses,0.9609375,1000
scrambling,0.98046875,1000
subject_verb_agreement,0.89453125,1000
suspended_affixation,0.93359375,1000
